crc32,archive,local_off,size,ntex,sample_dims_fmt
0x6FB04FB3,0B,0xE213000,1914295,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6FED7A93,0A,0x53EA7000,2266303,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x711A1F60,0B,0xB664800,1868035,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x721D4CC4,0A,0x62E81000,1808288,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x73117ED7,0A,0x54CCE800,2208954,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x73989799,0A,0x5E704000,1944391,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x75390C30,0A,0x39C32800,2097646,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x773B0595,0A,0x5E8DF000,1914278,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x77AD7195,0A,0x591AA800,2316920,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7802ED48,0A,0x3945F000,2008061,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x78653E8E,0A,0x634DD000,2300248,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7885F0E2,0A,0x61633800,2246611,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x797EEB0B,0B,0xC995800,2088119,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x79A8B44B,0B,0x125D3800,2461024,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7B19C9DB,0B,0x168AC800,2065228,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7B4972FB,0A,0x5FDC4000,1970174,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7F7A7A9A,0A,0x39250000,2158359,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x7FEAE0F7,0A,0x5FFA5000,2058457,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
