team,category,iff,archive,offset,size,resolved,label,crc32
custom,uniform_customizable,disc_434f0d0e.iff,0A,0x6B338000,0xCF07E,1,Customizable-team jersey template (RGB tint),0x434F0D0E
custom,uniform_customizable,disc_43afc362.iff,0B,0x82A000,0xEBDBA,1,Customizable-team jersey template (RGB tint),0x43AFC362
uniforms,Creation Zone Logo,disc_43c810a4.iff,0A,0x653AB000,0xBFC51,1,Anaheim Ducks #2 - Creation Logo,0x43C810A4
car,uniform,disc_444610c3.iff,0A,0x66BBE800,0xEB11F,1,Team-Select Jersey Decals - CAR_ALT,0x444610C3
uniforms,uniform_components,disc_45978e64.iff,0A,0x57E19800,0x266E5A,1,Uniform component - 2048x512 DXN,0x45978E64
uniforms,Team-Select Jersey Decal,disc_462f3e8b.iff,0B,0x7628800,0xC0805,1,USA Jersey Decal (Home or Away),0x462F3E8B
uniforms,Creation Zone Logo,disc_46d86290.iff,0A,0x652DD000,0xCDDDD,1,Anaheim Ducks Alt #2 - Creation Logo,0x46D86290
uniforms,Creation Zone Logo,disc_46fc0c1e.iff,0A,0x6A306800,0x9EBB4,1,"Custom Jersey Decal (recolorable, no logo)",0x46FC0C1E
mtl,Team-Select Jersey Decal,disc_470ce25f.iff,0B,0x694D800,0xFCD35,1,Tampa Bay Jersey Decal (Home or Away),0x470CE25F
uniforms,uniform_components,disc_4754cc9f.iff,0B,0x164AF800,0x1FED37,1,Uniform component - 2048x512 DXN,0x4754CC9F
bos,Team-Select Jersey Decal,disc_48bc6439.iff,0B,0x40B2000,0x1025CB,1,Ottawa Jersey Decal (Home or Away),0x48BC6439
pit,Creation Zone Logo,disc_495d1f5c.iff,0B,0x1215A000,0x23B31A,1,Pittsburgh Penguins - Creation Logo,0x495D1F5C
uniforms,uniform_components,disc_4a63b010.iff,0A,0x5B861800,0x1E3C45,1,Uniform component - 2048x512 DXN,0x4A63B010
uniforms,Creation Zone Logo,disc_4a8e7b70.iff,0A,0x6AA95000,0xA95E8,1,"Custom Jersey Decal (recolorable, no logo)",0x4A8E7B70
custom,uniform_customizable,disc_4ab366dd.iff,0A,0x665A2800,0xDD6D7,1,Customizable-team jersey template (RGB tint),0x4AB366DD
uniforms,uniform_components,disc_4ae64591.iff,0A,0x5828B000,0x20A5A1,1,Uniform component - 2048x512 DXN,0x4AE64591
ana,Team-Select Jersey Decal,disc_4b5a1ad8.iff,0A,0x6B68E800,0xB3399,1,Dallas Jersey Decal (Home or Away),0x4B5A1AD8
uniforms,uniform_components,disc_4bb7ac82.iff,0B,0xAE53000,0x20C28A,1,Uniform component - 2048x512 DXN,0x4BB7AC82
custom,uniform_customizable,disc_4c678c79.iff,0A,0x68297800,0xFA51A,1,Customizable-team jersey template (RGB tint),0x4C678C79
tbl,uniform,disc_4cbee36b.iff,0B,0x6876000,0xD742A,1,Team-Select Jersey Decals - TBL_ALT,0x4CBEE36B
pho,Team-Select Jersey Decal,disc_4d923aa7.iff,0B,0x49D9800,0xF67F5,1,Phoenix Jersey Decal (Home or Away),0x4D923AA7
uniforms,Team-Select Jersey Decal,disc_4e009b12.iff,0A,0x6AFF8000,0xA2636,1,Czech Republic Jersey Decal (Home or Away),0x4E009B12
custom,uniform_customizable,disc_4e2de97c.iff,0A,0x6AB3E800,0xBDB9D,1,Customizable-team jersey template (RGB tint),0x4E2DE97C
edm,uniform,disc_4e6a91cb.iff,0B,0x9EB800,0xF60F5,1,Team-Select Jersey Decals - EDM_HOME,0x4E6A91CB
uniforms,uniform_components,disc_4ec0221c.iff,0A,0x5BDF9000,0x1CF05A,1,Uniform component - 2048x512 DXN,0x4EC0221C
custom,uniform_customizable,disc_4ef3f1dc.iff,0A,0x656E5000,0xDD029,1,Customizable-team jersey template (RGB tint),0x4EF3F1DC
min,uniform,disc_4f13ca54.iff,0B,0x1EF7800,0xB7649,1,Team-Select Jersey Decals - MIN_ALT,0x4F13CA54
stl,uniform,disc_4f350747.iff,0B,0x5FDE800,0x13088E,1,Team-Select Jersey Decals - STL_ALT,0x4F350747
uniforms,Creation Zone Logo,disc_506ce6a8.iff,0B,0x3D64000,0xB6D12,1,NY Rangers #2 - Creation Logo,0x506CE6A8
uniforms,Team-Select Jersey Decal,disc_527011dc.iff,0B,0x657A800,0xBEA6F,1,Switzerland Jersey Decal (Home or Away),0x527011DC
pit,Team-Select Jersey Decal,disc_53529f78.iff,0B,0x5108000,0xE9E4C,1,Pittsburgh Jersey Decal (Home or Away),0x53529F78
nyi,Team-Select Jersey Decal,disc_53711c73.iff,0B,0x38E3800,0x119859,1,NY Islanders Jersey Decal (Home or Away),0x53711C73
custom,uniform_customizable,disc_53c5ed0e.iff,0A,0x68B19000,0xEFF19,1,Customizable-team jersey template (RGB tint),0x53C5ED0E
uniforms,uniform_components,disc_53cf3f0b.iff,0A,0x5C39F800,0x1D4E8A,1,Uniform component - 2048x512 DXN,0x53CF3F0B
custom,uniform_customizable,disc_5427877f.iff,0A,0x65FA5000,0xED148,1,Customizable-team jersey template (RGB tint),0x5427877F
custom,uniform_customizable,disc_55913881.iff,0B,0x18FC000,0xEA08A,1,Customizable-team jersey template (RGB tint),0x55913881
fla,uniform,disc_55a24985.iff,0B,0xC9A000,0x1119DC,1,Team-Select Jersey Decals - FLA_ALT,0x55A24985
